resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Graphic designer with 9 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,9,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Legal associate with 2 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",2,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevSecOps specialist with 8 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,8,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Full-stack developer with 8 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",8,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 4 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",4,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Legal associate with 10 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,10,0.81,81,"Good fit (Score: 81%, Similarity: 0.81). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"QA engineer with 9 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",9,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"ETL developer with 10 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",10,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Marketing analyst with 6 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,6,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"AI prompt engineer with 8 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",8,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"System administrator with 6 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,6,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
Game developer with 7 years' experience in Unity and C#. Built multiplayer features and integrated ads and in-app purchases.,"Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",7,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Marketing analyst with 5 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",5,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
